"year","month","P_ID","T_ID","AB","HIT","H2","H3","HR","BB","HP","KK","BK","PA","R","ER","SF","stadium_MH","stadium_MS","stadium_JS","stadium_SW","stadium_DJ","stadium_DG","stadium_GJ","stadium_GC","stadium_SJ","stadium_PH","stadium_US","stadium_CJ","stadium_CW","VS_T_ID_HH","VS_T_ID_HT","VS_T_ID_KT","VS_T_ID_LG","VS_T_ID_LT","VS_T_ID_NC","VS_T_ID_OB","VS_T_ID_SK","VS_T_ID_SS","VS_T_ID_WO","HOME","AWAY"
2016,7,65331,"KT",24,2,0,0,0,3,0,6,0,27,0,0,0,3,0,0,11,3,0,3,0,0,0,0,0,0,3,5,0,0,3,0,0,3,3,3,11,9
2016,7,65331,"WO",67,21,3,0,4,5,2,10,0,74,10,10,0,3,0,2,3,0,1,0,12,0,0,0,0,0,0,3,3,3,0,3,5,3,1,0,12,9
2016,7,65343,"WO",13,4,0,0,1,4,0,5,0,17,4,4,0,3,0,2,3,0,1,0,12,0,0,0,0,0,0,3,3,3,0,3,5,3,1,0,12,9
2016,7,65348,"WO",83,24,5,1,5,4,1,14,0,92,14,14,4,3,0,2,3,0,1,0,12,0,0,0,0,0,0,3,3,3,0,3,5,3,1,0,12,9
2016,7,65368,"WO",13,3,0,0,1,1,0,1,0,14,1,1,0,3,0,2,3,0,1,0,12,0,0,0,0,0,0,3,3,3,0,3,5,3,1,0,12,9
2016,7,65543,"LT",65,21,5,0,3,10,0,5,0,77,11,9,2,0,2,3,3,0,0,0,0,9,3,0,0,0,3,3,3,6,0,2,0,0,3,0,9,11
2016,7,65546,"LT",117,36,11,1,3,9,2,19,0,129,19,18,1,0,2,3,3,0,0,0,0,9,3,0,0,0,3,3,3,6,0,2,0,0,3,0,9,11
2016,7,65665,"HT",21,5,0,1,2,2,0,2,0,23,4,4,0,3,0,3,2,0,0,9,3,3,0,0,0,0,0,0,5,0,3,3,3,6,0,3,9,14
2016,7,65827,"SK",8,1,0,0,0,4,0,2,0,12,0,0,0,11,3,2,0,3,0,3,0,0,0,0,0,0,5,6,3,2,0,3,0,0,0,3,11,11
2016,7,65856,"SK",122,32,4,0,1,14,1,23,1,141,14,12,4,11,3,2,0,3,0,3,0,0,0,0,0,0,5,6,3,2,0,3,0,0,0,3,11,11
2016,7,65931,"NC",89,24,2,0,2,8,1,15,0,99,6,6,1,0,11,0,0,0,3,3,3,0,0,0,0,0,0,3,0,3,2,0,3,3,3,3,11,9
2016,7,65933,"NC",31,6,4,0,0,5,0,9,0,36,3,3,0,0,11,0,0,0,3,3,3,0,0,0,0,0,0,3,0,3,2,0,3,3,3,3,11,9
2016,7,66032,"KT",48,21,3,0,1,4,0,4,0,54,9,4,2,3,0,0,11,3,0,3,0,0,0,0,0,0,3,5,0,0,3,0,0,3,3,3,11,9
2016,7,66047,"KT",18,4,1,0,0,2,0,2,0,20,0,0,0,3,0,0,11,3,0,3,0,0,0,0,0,0,3,5,0,0,3,0,0,3,3,3,11,9
2016,7,66050,"KT",48,16,2,0,0,12,2,13,0,62,10,10,0,3,0,0,11,3,0,3,0,0,0,0,0,0,3,5,0,0,3,0,0,3,3,3,11,9
2016,7,66138,"LG",54,13,2,2,0,1,0,10,0,55,6,6,0,0,3,11,0,0,2,0,3,3,0,0,0,0,3,0,0,0,6,3,3,2,2,3,11,11
2016,7,66154,"LG",9,5,1,0,2,1,0,1,0,11,6,6,1,0,3,11,0,0,2,0,3,3,0,0,0,0,3,0,0,0,6,3,3,2,2,3,11,11
2016,7,66160,"LG",11,3,0,1,1,0,0,1,1,11,2,2,0,0,3,11,0,0,2,0,3,3,0,0,0,0,3,0,0,0,6,3,3,2,2,3,11,11
2016,7,66201,"OB",2,1,0,1,0,0,0,1,0,3,1,1,1,0,3,14,0,1,0,0,3,0,0,0,0,0,4,3,0,3,0,3,0,0,3,5,11,10
2016,7,66226,"OB",101,21,4,0,4,13,2,15,0,120,18,17,4,0,3,14,0,1,0,0,3,0,0,0,0,0,4,3,0,3,0,3,0,0,3,5,11,10
2016,7,66324,"WO",137,47,7,0,7,5,1,20,0,143,24,21,0,3,0,2,3,0,1,0,12,0,0,0,0,0,0,3,3,3,0,3,5,3,1,0,12,9
2016,7,66423,"SS",41,9,0,0,2,6,1,13,0,49,7,5,1,0,0,3,3,3,6,0,0,0,3,0,0,0,3,0,3,2,3,3,3,0,0,1,9,9
2016,7,66446,"SS",10,4,2,0,0,0,1,2,0,13,2,2,2,0,0,3,3,3,6,0,0,0,3,0,0,0,3,0,3,2,3,3,3,0,0,1,9,9
2016,7,66493,"SS",6,2,0,0,0,1,0,0,0,8,1,0,1,0,0,3,3,3,6,0,0,0,3,0,0,0,3,0,3,2,3,3,3,0,0,1,9,9
2016,7,66628,"HT",103,37,5,1,4,13,0,10,0,120,24,21,4,3,0,3,2,0,0,9,3,3,0,0,0,0,0,0,5,0,3,3,3,6,0,3,9,14
2016,7,66643,"HT",140,28,7,0,3,5,2,19,0,148,13,11,1,3,0,3,2,0,0,9,3,3,0,0,0,0,0,0,5,0,3,3,3,6,0,3,9,14
2016,7,66659,"HT",8,3,1,0,0,1,0,0,0,9,1,1,0,3,0,3,2,0,0,9,3,3,0,0,0,0,0,0,5,0,3,3,3,6,0,3,9,14
2016,7,66742,"HH",76,24,7,0,1,9,2,14,0,87,14,13,0,2,0,6,0,10,0,0,0,3,0,0,0,0,0,0,3,3,3,0,4,5,3,0,10,11
2016,7,66750,"HH",93,28,5,0,0,10,2,18,0,106,15,14,1,2,0,6,0,10,0,0,0,3,0,0,0,0,0,0,3,3,3,0,4,5,3,0,10,11
2016,7,66825,"SK",57,15,3,0,1,3,0,15,1,61,8,5,1,11,3,2,0,3,0,3,0,0,0,0,0,0,5,6,3,2,0,3,0,0,0,3,11,11
2016,7,66859,"SK",49,19,4,0,4,2,0,5,0,51,14,14,0,11,3,2,0,3,0,3,0,0,0,0,0,0,5,6,3,2,0,3,0,0,0,3,11,11
2016,7,66920,"NC",1,0,0,0,0,0,0,0,1,1,0,0,0,0,11,0,0,0,3,3,3,0,0,0,0,0,0,3,0,3,2,0,3,3,3,3,11,9
2016,7,66928,"NC",46,16,2,0,1,7,0,5,0,55,13,10,2,0,11,0,0,0,3,3,3,0,0,0,0,0,0,3,0,3,2,0,3,3,3,3,11,9
2016,7,66960,"NC",37,13,1,0,2,8,1,9,0,47,12,12,1,0,11,0,0,0,3,3,3,0,0,0,0,0,0,3,0,3,2,0,3,3,3,3,11,9
2016,7,67845,"KT",75,25,4,0,4,8,0,9,0,83,18,17,0,3,0,0,11,3,0,3,0,0,0,0,0,0,3,5,0,0,3,0,0,3,3,3,11,9
2016,7,70142,"HT",37,11,1,1,1,4,0,7,0,42,5,4,1,3,0,3,2,0,0,9,3,3,0,0,0,0,0,0,5,0,3,3,3,6,0,3,9,14
2016,7,70839,"LG",12,4,3,0,0,0,1,2,0,14,5,4,1,0,3,11,0,0,2,0,3,3,0,0,0,0,3,0,0,0,6,3,3,2,2,3,11,11
2016,7,71118,"LG",36,13,3,0,1,3,1,10,0,41,8,8,1,0,3,11,0,0,2,0,3,3,0,0,0,0,3,0,0,0,6,3,3,2,2,3,11,11
2016,7,71801,"LT",7,2,0,0,0,1,0,0,0,8,0,0,0,0,2,3,3,0,0,0,0,9,3,0,0,0,3,3,3,6,0,2,0,0,3,0,9,11
2016,7,71845,"SK",59,17,3,0,2,4,1,13,0,66,9,8,2,11,3,2,0,3,0,3,0,0,0,0,0,0,5,6,3,2,0,3,0,0,0,3,11,11
2016,7,72447,"HH",64,17,4,1,0,7,3,18,0,78,9,9,4,2,0,6,0,10,0,0,0,3,0,0,0,0,0,0,3,3,3,0,4,5,3,0,10,11
2016,7,72463,"SS",28,9,3,0,2,1,1,4,0,30,3,3,0,0,0,3,3,3,6,0,0,0,3,0,0,0,3,0,3,2,3,3,3,0,0,1,9,9
2016,7,72523,"SK",20,6,4,0,0,3,0,3,0,24,4,4,1,11,3,2,0,3,0,3,0,0,0,0,0,0,5,6,3,2,0,3,0,0,0,3,11,11
2016,7,72535,"LT",22,6,1,0,0,4,0,3,0,26,5,3,0,0,2,3,3,0,0,0,0,9,3,0,0,0,3,3,3,6,0,2,0,0,3,0,9,11
2016,7,72551,"LT",25,8,1,0,0,2,0,3,0,31,2,1,4,0,2,3,3,0,0,0,0,9,3,0,0,0,3,3,3,6,0,2,0,0,3,0,9,11
2016,7,72749,"WO",47,10,1,0,4,6,0,8,0,56,8,7,3,3,0,2,3,0,1,0,12,0,0,0,0,0,0,3,3,3,0,3,5,3,1,0,12,9
2016,7,72862,"LT",38,13,2,0,2,8,0,6,0,47,11,10,1,0,2,3,3,0,0,0,0,9,3,0,0,0,3,3,3,6,0,2,0,0,3,0,9,11
2016,7,73117,"LG",106,29,7,0,3,12,3,15,0,122,17,14,1,0,3,11,0,0,2,0,3,3,0,0,0,0,3,0,0,0,6,3,3,2,2,3,11,11
2016,7,73211,"LT",82,24,2,0,7,16,1,10,0,100,24,19,1,0,2,3,3,0,0,0,0,9,3,0,0,0,3,3,3,6,0,2,0,0,3,0,9,11
2016,7,73226,"OB",16,6,0,1,1,0,0,2,0,17,2,2,1,0,3,14,0,1,0,0,3,0,0,0,0,0,4,3,0,3,0,3,0,0,3,5,11,10
2016,7,73241,"OB",26,9,2,0,1,4,1,4,0,31,6,6,0,0,3,14,0,1,0,0,3,0,0,0,0,0,4,3,0,3,0,3,0,0,3,5,11,10
2016,7,73248,"SK",8,4,0,1,0,2,0,1,0,10,3,3,0,11,3,2,0,3,0,3,0,0,0,0,0,0,5,6,3,2,0,3,0,0,0,3,11,11
2016,7,73750,"HH",25,6,0,0,0,10,0,2,0,37,8,7,2,2,0,6,0,10,0,0,0,3,0,0,0,0,0,0,3,3,3,0,4,5,3,0,10,11
2016,7,73801,"HH",52,17,1,0,2,2,0,9,0,55,10,9,1,2,0,6,0,10,0,0,0,3,0,0,0,0,0,0,3,3,3,0,4,5,3,0,10,11
2016,7,74167,"HH",50,13,2,0,0,8,0,7,0,63,8,6,5,2,0,6,0,10,0,0,0,3,0,0,0,0,0,0,3,3,3,0,4,5,3,0,10,11
2016,7,74359,"WO",37,8,0,1,0,6,0,5,0,46,5,5,3,3,0,2,3,0,1,0,12,0,0,0,0,0,0,3,3,3,0,3,5,3,1,0,12,9
2016,7,74454,"SS",89,24,5,0,3,11,3,7,0,110,16,11,7,0,0,3,3,3,6,0,0,0,3,0,0,0,3,0,3,2,3,3,3,0,0,1,9,9
2016,7,74513,"OB",98,26,3,1,1,7,1,21,0,110,11,11,4,0,3,14,0,1,0,0,3,0,0,0,0,0,4,3,0,3,0,3,0,0,3,5,11,10
2016,7,74630,"SS",9,3,0,0,1,1,1,2,0,11,3,3,0,0,0,3,3,3,6,0,0,0,3,0,0,0,3,0,3,2,3,3,3,0,0,1,9,9
2016,7,74731,"HH",67,10,3,1,0,4,5,14,0,77,4,4,1,2,0,6,0,10,0,0,0,3,0,0,0,0,0,0,3,3,3,0,4,5,3,0,10,11
2016,7,74838,"SK",116,30,6,1,3,13,3,25,0,132,15,15,0,11,3,2,0,3,0,3,0,0,0,0,0,0,5,6,3,2,0,3,0,0,0,3,11,11
2016,7,74857,"HH",39,12,3,0,4,1,1,10,0,44,9,9,3,2,0,6,0,10,0,0,0,3,0,0,0,0,0,0,3,3,3,0,4,5,3,0,10,11
2016,7,75149,"KT",22,8,0,0,0,3,1,1,0,26,3,3,0,3,0,0,11,3,0,3,0,0,0,0,0,0,3,5,0,0,3,0,0,3,3,3,11,9
2016,7,75250,"SK",25,8,1,1,2,2,0,4,0,28,3,3,1,11,3,2,0,3,0,3,0,0,0,0,0,0,5,6,3,2,0,3,0,0,0,3,11,11
2016,7,75321,"LT",34,9,0,0,1,7,0,3,1,44,4,4,3,0,2,3,3,0,0,0,0,9,3,0,0,0,3,3,3,6,0,2,0,0,3,0,9,11
2016,7,75340,"SK",21,7,1,0,1,4,0,2,0,25,6,4,0,11,3,2,0,3,0,3,0,0,0,0,0,0,5,6,3,2,0,3,0,0,0,3,11,11
2016,7,75342,"WO",46,14,5,0,0,11,0,14,0,57,5,5,0,3,0,2,3,0,1,0,12,0,0,0,0,0,0,3,3,3,0,3,5,3,1,0,12,9
2016,7,75668,"HT",19,5,0,1,0,5,0,1,0,24,3,3,0,3,0,3,2,0,0,9,3,3,0,0,0,0,0,0,5,0,3,3,3,6,0,3,9,14
2016,7,75852,"NC",2,2,1,0,0,0,0,0,0,2,1,1,0,0,11,0,0,0,3,3,3,0,0,0,0,0,0,3,0,3,2,0,3,3,3,3,11,9
2016,7,75867,"NC",53,14,1,0,2,1,0,25,0,54,6,6,0,0,11,0,0,0,3,3,3,0,0,0,0,0,0,3,0,3,2,0,3,3,3,3,11,9
2016,7,76118,"NC",58,4,1,0,0,5,0,16,0,64,1,1,1,0,11,0,0,0,3,3,3,0,0,0,0,0,0,3,0,3,2,0,3,3,3,3,11,9
2016,7,76329,"OB",30,7,1,0,1,3,0,5,0,33,4,4,0,0,3,14,0,1,0,0,3,0,0,0,0,0,4,3,0,3,0,3,0,0,3,5,11,10
2016,7,76350,"WO",49,14,1,0,0,2,0,5,0,53,3,3,2,3,0,2,3,0,1,0,12,0,0,0,0,0,0,3,3,3,0,3,5,3,1,0,12,9
2016,7,76430,"WO",50,19,4,1,1,7,0,15,0,58,9,9,1,3,0,2,3,0,1,0,12,0,0,0,0,0,0,3,3,3,0,3,5,3,1,0,12,9
2016,7,76455,"SS",98,28,6,0,3,9,2,18,0,112,19,17,3,0,0,3,3,3,6,0,0,0,3,0,0,0,3,0,3,2,3,3,3,0,0,1,9,9
2016,7,76461,"SS",93,32,6,0,6,2,2,10,0,97,17,17,0,0,0,3,3,3,6,0,0,0,3,0,0,0,3,0,3,2,3,3,3,0,0,1,9,9
2016,7,76610,"HT",43,13,3,0,0,4,0,5,0,48,3,3,1,3,0,3,2,0,0,9,3,3,0,0,0,0,0,0,5,0,3,3,3,6,0,3,9,14
2016,7,76650,"LG",41,8,1,0,1,11,1,11,0,56,7,5,3,0,3,11,0,0,2,0,3,3,0,0,0,0,3,0,0,0,6,3,3,2,2,3,11,11
2016,7,76757,"LG",24,9,0,0,0,3,1,3,0,31,5,5,3,0,3,11,0,0,2,0,3,3,0,0,0,0,3,0,0,0,6,3,3,2,2,3,11,11
2016,7,76858,"SK",48,12,2,0,0,7,1,9,0,58,6,5,2,11,3,2,0,3,0,3,0,0,0,0,0,0,5,6,3,2,0,3,0,0,0,3,11,11
2016,7,77147,"LG",13,7,2,0,2,0,0,1,0,13,3,3,0,0,3,11,0,0,2,0,3,3,0,0,0,0,3,0,0,0,6,3,3,2,2,3,11,11
2016,7,77263,"OB",33,9,2,0,1,8,0,4,0,41,6,6,0,0,3,14,0,1,0,0,3,0,0,0,0,0,4,3,0,3,0,3,0,0,3,5,11,10
2016,7,77318,"KT",58,20,5,0,2,8,4,10,0,74,21,16,4,3,0,0,11,3,0,3,0,0,0,0,0,0,3,5,0,0,3,0,0,3,3,3,11,9
2016,7,77446,"SS",30,7,2,0,1,6,0,11,0,36,6,6,0,0,0,3,3,3,6,0,0,0,3,0,0,0,3,0,3,2,3,3,3,0,0,1,9,9
2016,7,77452,"HH",13,4,1,0,1,0,0,1,0,13,1,1,0,2,0,6,0,10,0,0,0,3,0,0,0,0,0,0,3,3,3,0,4,5,3,0,10,11
2016,7,77563,"KT",16,10,4,0,0,1,0,2,0,18,6,6,1,3,0,0,11,3,0,3,0,0,0,0,0,0,3,5,0,0,3,0,0,3,3,3,11,9
2016,7,77591,"LT",73,28,4,1,3,8,1,9,0,84,21,21,2,0,2,3,3,0,0,0,0,9,3,0,0,0,3,3,3,6,0,2,0,0,3,0,9,11
2016,7,77637,"HT",119,23,3,0,3,13,0,26,0,134,7,7,2,3,0,3,2,0,0,9,3,3,0,0,0,0,0,0,5,0,3,3,3,6,0,3,9,14
2016,7,77829,"SK",9,2,0,0,0,1,0,2,0,10,0,0,0,11,3,2,0,3,0,3,0,0,0,0,0,0,5,6,3,2,0,3,0,0,0,3,11,11
2016,7,77927,"SS",33,11,0,0,1,5,0,3,0,38,7,7,0,0,0,3,3,3,6,0,0,0,3,0,0,0,3,0,3,2,3,3,3,0,0,1,9,9
2016,7,78257,"OB",45,15,2,1,3,10,0,12,0,57,12,12,1,0,3,14,0,1,0,0,3,0,0,0,0,0,4,3,0,3,0,3,0,0,3,5,11,10
2016,7,78352,"NC",34,6,1,0,1,3,1,13,0,38,1,1,0,0,11,0,0,0,3,3,3,0,0,0,0,0,0,3,0,3,2,0,3,3,3,3,11,9
2016,7,78366,"NC",11,2,1,0,0,1,0,1,0,12,1,1,0,0,11,0,0,0,3,3,3,0,0,0,0,0,0,3,0,3,2,0,3,3,3,3,11,9
2016,7,78760,"HH",58,16,4,0,0,6,0,8,0,64,7,7,0,2,0,6,0,10,0,0,0,3,0,0,0,0,0,0,3,3,3,0,4,5,3,0,10,11
2016,7,79140,"LG",10,4,2,0,0,2,2,1,0,15,8,7,1,0,3,11,0,0,2,0,3,3,0,0,0,0,3,0,0,0,6,3,3,2,2,3,11,11
2016,7,79191,"KT",32,5,2,0,1,1,0,7,0,35,2,1,2,3,0,0,11,3,0,3,0,0,0,0,0,0,3,5,0,0,3,0,0,3,3,3,11,9
2016,7,79229,"OB",117,35,4,1,4,13,0,10,0,138,21,20,8,0,3,14,0,1,0,0,3,0,0,0,0,0,4,3,0,3,0,3,0,0,3,5,11,10
2016,7,79235,"OB",15,7,1,0,2,1,2,0,0,20,6,6,2,0,3,14,0,1,0,0,3,0,0,0,0,0,4,3,0,3,0,3,0,0,3,5,11,10
2016,7,79349,"OB",10,4,1,0,0,1,0,2,0,11,2,2,0,0,3,14,0,1,0,0,3,0,0,0,0,0,4,3,0,3,0,3,0,0,3,5,11,10
2016,7,79440,"SS",52,11,2,1,2,13,0,13,0,66,7,7,1,0,0,3,3,3,6,0,0,0,3,0,0,0,3,0,3,2,3,3,3,0,0,1,9,9
2016,7,79448,"SS",11,5,0,0,0,3,0,2,0,14,3,3,0,0,0,3,3,3,6,0,0,0,3,0,0,0,3,0,3,2,3,3,3,0,0,1,9,9
2016,7,79535,"OB",27,8,2,0,1,4,2,4,0,34,7,7,1,0,3,14,0,1,0,0,3,0,0,0,0,0,4,3,0,3,0,3,0,0,3,5,11,10
2016,7,79764,"HH",84,22,1,0,2,9,1,17,0,96,5,5,2,2,0,6,0,10,0,0,0,3,0,0,0,0,0,0,3,3,3,0,4,5,3,0,10,11
2016,7,79791,"SS",2,1,0,0,0,1,0,0,0,3,2,2,0,0,0,3,3,3,6,0,0,0,3,0,0,0,3,0,3,2,3,3,3,0,0,1,9,9
2016,7,79847,"SK",26,5,1,0,0,4,0,3,0,31,4,4,1,11,3,2,0,3,0,3,0,0,0,0,0,0,5,6,3,2,0,3,0,0,0,3,11,11
2016,7,95657,"HT",49,19,3,1,1,2,0,9,1,53,8,7,2,3,0,3,2,0,0,9,3,3,0,0,0,0,0,0,5,0,3,3,3,6,0,3,9,14
2016,7,97336,"HT",45,14,2,0,3,1,1,13,0,49,6,4,2,3,0,3,2,0,0,9,3,3,0,0,0,0,0,0,5,0,3,3,3,6,0,3,9,14
2016,7,97541,"WO",43,16,2,0,0,4,0,4,0,47,5,5,0,3,0,2,3,0,1,0,12,0,0,0,0,0,0,3,3,3,0,3,5,3,1,0,12,9
2016,7,99314,"HH",11,6,0,0,1,0,0,1,0,11,2,2,0,2,0,6,0,10,0,0,0,3,0,0,0,0,0,0,3,3,3,0,4,5,3,0,10,11
2016,7,99445,"SS",34,8,1,0,1,1,1,4,0,40,2,2,4,0,0,3,3,3,6,0,0,0,3,0,0,0,3,0,3,2,3,3,3,0,0,1,9,9
2016,7,99563,"KT",11,4,1,0,0,2,1,4,0,14,3,3,0,3,0,0,11,3,0,3,0,0,0,0,0,0,3,5,0,0,3,0,0,3,3,3,11,9
2016,7,99737,"HH",54,17,3,0,2,4,0,13,0,58,11,11,0,2,0,6,0,10,0,0,0,3,0,0,0,0,0,0,3,3,3,0,4,5,3,0,10,11
2016,8,60146,"LG",21,6,0,0,1,1,0,2,0,23,3,3,1,2,0,16,0,0,2,2,2,2,0,0,0,0,2,2,5,0,2,2,5,4,2,2,11,15
2016,8,60181,"LG",38,9,2,0,2,7,0,11,0,47,6,6,2,2,0,16,0,0,2,2,2,2,0,0,0,0,2,2,5,0,2,2,5,4,2,2,11,15
2016,8,60263,"NC",52,14,2,0,1,9,1,17,0,62,7,5,0,0,10,4,2,5,0,0,2,0,0,0,0,0,5,2,5,2,2,0,2,0,2,3,10,13
2016,8,60264,"KT",13,9,1,0,2,0,0,2,0,14,9,9,1,2,3,5,10,0,0,1,0,0,0,2,0,0,2,1,0,5,2,5,0,4,2,2,10,13
2016,8,60339,"WO",42,9,1,0,2,5,3,6,0,51,8,8,1,0,1,2,2,1,2,0,13,2,0,0,0,0,1,2,2,2,4,3,2,3,4,0,13,10
2016,8,60342,"WO",5,1,0,0,0,1,1,0,0,7,3,3,0,0,1,2,2,1,2,0,13,2,0,0,0,0,1,2,2,2,4,3,2,3,4,0,13,10
2016,8,60457,"SS",30,8,0,0,0,0,1,8,0,31,1,1,0,2,2,0,2,2,12,1,2,0,0,0,0,0,2,4,2,2,1,2,2,4,0,4,12,11
2016,8,60559,"LT",51,17,4,0,2,3,0,7,0,55,8,8,1,2,2,1,0,0,1,0,2,11,0,4,0,0,2,2,2,2,0,2,4,4,1,4,15,8
2016,8,60634,"HT",5,3,0,0,0,3,0,1,0,9,4,4,1,0,2,2,0,0,3,13,2,2,0,0,0,0,5,0,1,2,2,2,4,2,4,2,13,11
2016,8,60636,"HT",13,4,0,0,0,1,0,4,0,14,0,0,0,0,2,2,0,0,3,13,2,2,0,0,0,0,5,0,1,2,2,2,4,2,4,2,13,11
2016,8,60764,"HH",9,2,0,0,0,1,0,0,0,10,1,1,0,2,0,3,2,8,0,5,0,0,0,2,2,0,0,5,2,2,2,5,3,2,2,1,10,14
2016,8,60768,"HH",99,24,8,0,3,17,1,16,0,121,16,16,4,2,0,3,2,8,0,5,0,0,0,2,2,0,0,5,2,2,2,5,3,2,2,1,10,14
2016,8,60841,"SK",90,24,2,0,4,19,2,13,0,113,16,16,2,12,0,2,2,0,2,2,3,2,0,0,0,0,2,2,4,4,4,0,2,0,4,3,12,13
2016,8,61101,"LG",74,18,4,0,2,12,4,13,0,92,15,15,2,2,0,16,0,0,2,2,2,2,0,0,0,0,2,2,5,0,2,2,5,4,2,2,11,15
2016,8,61214,"OB",50,23,9,0,0,3,0,5,0,53,13,13,0,2,0,13,0,0,2,2,0,3,0,0,2,0,3,4,0,5,4,2,0,2,2,2,13,11
2016,8,61215,"OB",46,18,4,0,0,4,1,8,0,53,9,9,2,2,0,13,0,0,2,2,0,3,0,0,2,0,3,4,0,5,4,2,0,2,2,2,13,11
2016,8,61240,"OB",97,23,4,1,4,8,2,15,0,107,8,8,0,2,0,13,0,0,2,2,0,3,0,0,2,0,3,4,0,5,4,2,0,2,2,2,13,11
2016,8,61295,"OB",6,2,1,0,0,2,0,1,0,8,2,1,0,2,0,13,0,0,2,2,0,3,0,0,2,0,3,4,0,5,4,2,0,2,2,2,13,11
2016,8,61329,"LG",37,9,1,0,1,2,2,8,0,41,4,4,0,2,0,16,0,0,2,2,2,2,0,0,0,0,2,2,5,0,2,2,5,4,2,2,11,15
2016,8,61365,"SS",43,10,2,0,1,3,1,8,0,47,4,3,0,2,2,0,2,2,12,1,2,0,0,0,0,0,2,4,2,2,1,2,2,4,0,4,12,11
2016,8,61411,"SS",7,1,1,0,0,1,0,1,0,8,0,0,0,2,2,0,2,2,12,1,2,0,0,0,0,0,2,4,2,2,1,2,2,4,0,4,12,11
2016,8,61643,"HT",52,19,4,1,0,9,0,11,0,62,14,12,1,0,2,2,0,0,3,13,2,2,0,0,0,0,5,0,1,2,2,2,4,2,4,2,13,11
2016,8,61666,"HT",26,9,1,0,0,2,1,8,0,29,3,3,0,0,2,2,0,0,3,13,2,2,0,0,0,0,5,0,1,2,2,2,4,2,4,2,13,11
2016,8,61891,"LG",50,9,2,0,0,4,1,22,0,56,1,1,1,2,0,16,0,0,2,2,2,2,0,0,0,0,2,2,5,0,2,2,5,4,2,2,11,15
2016,8,61895,"SK",46,9,0,0,1,3,1,15,0,51,3,3,1,12,0,2,2,0,2,2,3,2,0,0,0,0,2,2,4,4,4,0,2,0,4,3,12,13
2016,8,62056,"SK",21,7,2,0,1,1,1,4,0,23,6,6,0,12,0,2,2,0,2,2,3,2,0,0,0,0,2,2,4,4,4,0,2,0,4,3,12,13
2016,8,62242,"OB",49,9,1,0,0,5,0,11,0,55,2,2,1,2,0,13,0,0,2,2,0,3,0,0,2,0,3,4,0,5,4,2,0,2,2,2,13,11
2016,8,62322,"WO",102,14,2,0,2,9,1,28,0,114,6,5,2,0,1,2,2,1,2,0,13,2,0,0,0,0,1,2,2,2,4,3,2,3,4,0,13,10
2016,8,62463,"LG",61,21,3,0,1,10,0,4,0,72,14,13,1,2,0,16,0,0,2,2,2,2,0,0,0,0,2,2,5,0,2,2,5,4,2,2,11,15
2016,8,62648,"HT",73,18,1,0,3,17,2,18,0,93,15,15,1,0,2,2,0,0,3,13,2,2,0,0,0,0,5,0,1,2,2,2,4,2,4,2,13,11
2016,8,62655,"LT",24,10,3,0,2,1,0,4,0,27,4,4,2,2,2,1,0,0,1,0,2,11,0,4,0,0,2,2,2,2,0,2,4,4,1,4,15,8
2016,8,62698,"LG",128,43,7,3,0,6,2,18,0,139,23,20,3,2,0,16,0,0,2,2,2,2,0,0,0,0,2,2,5,0,2,2,5,4,2,2,11,15
2016,8,62869,"SK",11,5,1,0,1,0,0,3,0,11,2,2,0,12,0,2,2,0,2,2,3,2,0,0,0,0,2,2,4,4,4,0,2,0,4,3,12,13
2016,8,62929,"NC",49,16,1,0,2,10,0,8,0,61,9,9,2,0,10,4,2,5,0,0,2,0,0,0,0,0,5,2,5,2,2,0,2,0,2,3,10,13
2016,8,62937,"WO",112,28,3,2,5,6,5,17,0,127,15,14,4,0,1,2,2,1,2,0,13,2,0,0,0,0,1,2,2,2,4,3,2,3,4,0,13,10
2016,8,62966,"NC",103,31,5,1,4,7,1,16,1,113,17,15,2,0,10,4,2,5,0,0,2,0,0,0,0,0,5,2,5,2,2,0,2,0,2,3,10,13
2016,8,63111,"LG",100,24,4,0,0,13,6,26,0,123,12,12,4,2,0,16,0,0,2,2,2,2,0,0,0,0,2,2,5,0,2,2,5,4,2,2,11,15
2016,8,63248,"OB",12,3,1,0,0,4,0,2,0,16,1,1,0,2,0,13,0,0,2,2,0,3,0,0,2,0,3,4,0,5,4,2,0,2,2,2,13,11
2016,8,63512,"LT",66,20,5,0,2,6,0,11,0,72,9,9,0,2,2,1,0,0,1,0,2,11,0,4,0,0,2,2,2,2,0,2,4,4,1,4,15,8
2016,8,63638,"HT",52,15,2,0,0,3,1,12,0,60,8,6,4,0,2,2,0,0,3,13,2,2,0,0,0,0,5,0,1,2,2,2,4,2,4,2,13,11
2016,8,63935,"LT",33,11,0,0,2,4,0,3,0,38,5,5,1,2,2,1,0,0,1,0,2,11,0,4,0,0,2,2,2,2,0,2,4,4,1,4,15,8
2016,8,63938,"NC",128,24,2,0,3,3,1,24,0,132,7,4,0,0,10,4,2,5,0,0,2,0,0,0,0,0,5,2,5,2,2,0,2,0,2,3,10,13
2016,8,63950,"NC",71,16,4,1,0,10,1,12,0,83,13,12,1,0,10,4,2,5,0,0,2,0,0,0,0,0,5,2,5,2,2,0,2,0,2,3,10,13
2016,8,63959,"NC",15,3,1,0,0,3,1,4,0,20,2,2,1,0,10,4,2,5,0,0,2,0,0,0,0,0,5,2,5,2,2,0,2,0,2,3,10,13
